0|pool  | [2021-12-28T05:19:02.433Z] [info] [system] [Website] : WEBSITE> Website started on 0.0.0.0:80
0|pool  | [2021-12-28T05:19:02.462Z] [debug] [ravencoin] [PaymentProcessor] : PP>WARN> getbalance RPC reply is being tested for validity
0|pool  | [2021-12-28T05:19:02.463Z] [debug] [ravencoin] [PaymentProcessor] : PP>WARN> daemon wallet balance >= 0.0 PASSED - JSON: 5975.1911445
0|pool  | [2021-12-28T05:19:02.465Z] [debug] [system] [PaymentProcessing] : PP> Payment processor initialized. Setup results true
0|pool  | [2021-12-28T05:19:02.467Z] [info] [system] [PaymentProcessing] : PP> Payment processing setup to run every 300 second(s) with daemon (user1@127.0.0.1:18766) and redis (127.0.0.1:6379)
0|pool  | [2021-12-28T05:19:02.568Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL START - Calling redis for array of rounds
0|pool  | [2021-12-28T05:19:02.571Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Redis responsed: [null,["00000001c028f1803a1f9197425ef4a589b6c4677f7c9faf0d9f7f3ada569bf3:a0b9e3012b125c7b9dc3c6fb505c713b695f65bed6f69fe15ebb347bf009c2fa:1031730"]]
0|pool  | [2021-12-28T05:19:02.571Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Prepared info basic info about payments
0|pool  | [2021-12-28T05:19:02.572Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> workers = {}
0|pool  | [2021-12-28T05:19:02.572Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> rounds = [{"blockHash":"00000001c028f1803a1f9197425ef4a589b6c4677f7c9faf0d9f7f3ada569bf3","txHash":"a0b9e3012b125c7b9dc3c6fb505c713b695f65bed6f69fe15ebb347bf009c2fa","height":"1031730","duplicate":false,"serialized":"00000001c028f1803a1f9197425ef4a589b6c4677f7c9faf0d9f7f3ada569bf3:a0b9e3012b125c7b9dc3c6fb505c713b695f65bed6f69fe15ebb347bf009c2fa:1031730"}]
0|pool  | [2021-12-28T05:19:02.572Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Workers count: 0 Rounds: 1
0|pool  | [2021-12-28T05:19:02.573Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Checking for confirmed rounds (blocks)
0|pool  | [2021-12-28T05:19:02.576Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Wokers and rounds after filtering orphans etc.
0|pool  | [2021-12-28T05:19:02.576Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> workers = {}
0|pool  | [2021-12-28T05:19:02.577Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> rounds = [{"blockHash":"00000001c028f1803a1f9197425ef4a589b6c4677f7c9faf0d9f7f3ada569bf3","txHash":"a0b9e3012b125c7b9dc3c6fb505c713b695f65bed6f69fe15ebb347bf009c2fa","height":"1031730","duplicate":false,"serialized":"00000001c028f1803a1f9197425ef4a589b6c4677f7c9faf0d9f7f3ada569bf3:a0b9e3012b125c7b9dc3c6fb505c713b695f65bed6f69fe15ebb347bf009c2fa:1031730","confirmations":397,"category":"generate","reward":4975}]
0|pool  | [2021-12-28T05:19:02.578Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Getting all shares for rounds and calculating rewards for miners
0|pool  | [2021-12-28T05:19:02.580Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Mapping workers into payout addresses
0|pool  | [2021-12-28T05:19:02.581Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> roundShare = [object Object]
0|pool  | [2021-12-28T05:19:02.581Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> Iterating worker mwXb53tmwsyytGY1Bc3URUmd6zKKYDWtTp.rig1
0|pool  | [2021-12-28T05:19:02.581Z] [debug] [ravencoin] [PaymentProcessor] : WATERFALL> mwXb53tmwsyytGY1Bc3URUmd6zKKYDWtTp.rig1 worker have both payout address and worker, merging
0|pool  | [2021-12-28T05:19:02.582Z] [debug] [ravencoin] [PaymentProcessor] : PP> Merged workers into payout addresses
0|pool  | [2021-12-28T05:19:02.583Z] [info] [ravencoin] [PaymentProcessor] : PP> We have found confirmed block #1031730 ready for payout
0|pool  | [2021-12-28T05:19:02.586Z] [debug] [ravencoin] [PaymentProcessor] : PP> Calculating reward for workerAddress mwXb53tmwsyytGY1Bc3URUmd6zKKYDWtTp
0|pool  | [2021-12-28T05:19:02.588Z] [debug] [ravencoin] [PaymentProcessor] : PP> Almost ready to send funds, calculating against existing balances
0|pool  | [2021-12-28T05:19:02.589Z] [debug] [ravencoin] [PaymentProcessor] : PP> Trying to send
0|pool  | [2021-12-28T05:19:02.589Z] [debug] [ravencoin] [PaymentProcessor] : PP> withholdPercent = 0
0|pool  | [2021-12-28T05:19:02.589Z] [debug] [ravencoin] [PaymentProcessor] : PP> totalSent = 0
0|pool  | [2021-12-28T05:19:02.590Z] [debug] [ravencoin] [PaymentProcessor] : Workers Passed through: [object Object]
0|pool  | [2021-12-28T05:19:02.591Z] [debug] [ravencoin] [PaymentProcessor] : Entered Async.Each for worker: [object Object]
0|pool  | [2021-12-28T05:19:02.591Z] [debug] [ravencoin] [PaymentProcessor] : PP> w = [object Object]
0|pool  | [2021-12-28T05:19:02.591Z] [debug] [ravencoin] [PaymentProcessor] : PP> worker = {"reward":"4975","roundShares":"0.2","totalShares":"0.2"}
0|pool  | [2021-12-28T05:19:02.592Z] [debug] [ravencoin] [PaymentProcessor] : PP> worker.totalShares = 0.2
0|pool  | [2021-12-28T05:19:02.593Z] [debug] [ravencoin] [PaymentProcessor] : PP> worker.balance = 0
0|pool  | [2021-12-28T05:19:02.593Z] [debug] [ravencoin] [PaymentProcessor] : PP> worker.reward = 4975
0|pool  | [2021-12-28T05:19:02.594Z] [debug] [ravencoin] [PaymentProcessor] : PP> toSend = 4975
0|pool  | /home/kawwpool/Ravencoin-Pool/libs/paymentProcessor.js:680
0|pool  |                               .then(() => {
0|pool  |                               ^
0|pool  | TypeError: Cannot read property 'then' of undefined
0|pool  |     at trySend (/home/kawwpool/Ravencoin-Pool/libs/paymentProcessor.js:680:5)
0|pool  |     at /home/kawwpool/Ravencoin-Pool/libs/paymentProcessor.js:739:3
0|pool  |     at nextTask (/home/kawwpool/Ravencoin-Pool/node_modules/async/dist/async.js:5324:14)
0|pool  |     at next (/home/kawwpool/Ravencoin-Pool/node_modules/async/dist/async.js:5331:9)
